Year,Type,Count
2019,1-A,45
2019,1-A POS,36
2019,1-A-W,10
2019,1-A/A,77
2019,1-K,9
2019,1-SA,8
2019,1-U,117
2019,1-Z,5
2019,1/A,62
2019,10-12B,6
2019,10-12B/A,13
2019,10-12G,21
2019,10-12G/A,13
2019,10-D,1961
2019,10-D/A,42
2019,10-K,4621
2019,10-K/A,151
2019,10-KT,21
2019,10-KT/A,2
2019,10-Q,1263
2019,10-Q/A,95
2019,10-QT,4
2019,11-K,36
2019,11-K/A,1
2019,13F-HR,5085
2019,13F-HR/A,224
2019,13F-NT,1570
2019,13F-NT/A,8
2019,144,57
2019,15-12B,76
2019,15-12B/A,2
2019,15-12G,68
2019,15-12G/A,6
2019,15-15D,60
2019,15-15D/A,3
2019,15F-12B,2
2019,15F-12G,2
2019,15F-15D,1
2019,18-K,4
2019,18-K/A,39
2019,19B-4E,88
2019,20-F,229
2019,20-F/A,14
2019,20FR12B,1
2019,20FR12B/A,7
2019,20FR12G,1
2019,24F-2NT,3448
2019,24F-2NT/A,5
2019,25,16
2019,25-NSE,203
2019,25-NSE/A,8
2019,253G2,96
2019,3,3674
2019,3/A,164
2019,305B2,29
2019,4,59925
2019,4/A,1520
2019,40-17F1,18
2019,40-17F2,61
2019,40-17G,218
2019,40-17G/A,13
2019,40-206A/A,2
2019,40-24B2,37
2019,40-24B2/A,1
2019,40-6B,2
2019,40-8B25,2
2019,40-APP,21
2019,40-APP/A,39
2019,40-F,100
2019,40-F/A,5
2019,40-OIP/A,1
2019,40FR12B,4
2019,40FR12B/A,1
2019,40FR12G,1
2019,424A,1
2019,424B1,5
2019,424B2,7252
2019,424B3,1283
2019,424B4,69
2019,424B5,655
2019,424B7,37
2019,424B8,26
2019,424H,40
2019,424H/A,5
2019,425,925
2019,485APOS,259
2019,485BPOS,1921
2019,485BXT,332
2019,486APOS,4
2019,486BPOS,23
2019,486BXT,1
2019,487,234
2019,497,3342
2019,497AD,58
2019,497J,1157
2019,497K,6248
2019,5,2220
2019,5/A,37
2019,6-K,5307
2019,6-K/A,86
2019,8-A12B,169
2019,8-A12B/A,19
2019,8-A12G,17
2019,8-A12G/A,2
2019,8-K,15980
2019,8-K/A,456
2019,8-K12B,6
2019,8-K12B/A,2
2019,8-K12G3,2
2019,8-M,1
2019,ABS-15G,939
2019,ABS-15G/A,132
2019,ABS-EE,711
2019,ABS-EE/A,6
2019,ADV-NR,5
2019,APP NTC,23
2019,APP ORDR,21
2019,APP WD,1
2019,ARS,6
2019,AW,41
2019,C,156
2019,C-AR,18
2019,C-TR,6
2019,C-U,88
2019,C-W,13
2019,C/A,199
2019,CB,2
2019,CERT,179
2019,CFPORTAL-W,2
2019,CFPORTAL/A,13
2019,CORRESP,854
2019,CT ORDER,302
2019,D,6751
2019,D/A,5491
2019,DEF 14A,1423
2019,DEF 14C,123
2019,DEFA14A,1280
2019,DEFA14C,5
2019,DEFC14A,7
2019,DEFM14A,51
2019,DEFM14C,1
2019,DEFN14A,1
2019,DEFR14A,26
2019,DEFR14C,2
2019,DEL AM,17
2019,DFAN14A,93
2019,DFRN14A,5
2019,DOS,3
2019,DOS/A,3
2019,DRS,46
2019,DRS/A,72
2019,DRSLTR,10
2019,DSTRBRPT,19
2019,EFFECT,557
2019,F-1,23
2019,F-1/A,63
2019,F-10,15
2019,F-10/A,14
2019,F-10POS,2
2019,F-1MEF,3
2019,F-3,16
2019,F-3/A,1
2019,F-3ASR,8
2019,F-3DPOS,2
2019,F-4,5
2019,F-4/A,4
2019,F-6,16
2019,F-6 POS,21
2019,F-6/A,6
2019,F-6EF,39
2019,F-7,1
2019,F-N,2
2019,F-X,34
2019,F-X/A,43
2019,FOCUSN,573
2019,FOCUSN/A,2
2019,FWP,3309
2019,IRANNOTICE,125
2019,MA,13
2019,MA-A,256
2019,MA-I,173
2019,MA-I/A,545
2019,MA-W,6
2019,MA/A,53
2019,MSDW,1
2019,N-14,45
2019,N-14 8C,3
2019,N-14 8C/A,1
2019,N-14/A,18
2019,N-18F1,6
