,link,size,accession_number,filing_date,year,cik,conformed_name,n_documents_in_filing,documents_in_filing_names
2,https://www.sec.gov/Archives/edgar/data/1474735/000143774917010176/0001437749-17-010176-index.htm,48 KB,0001437749-17-010176,2017-05-26,2017,0001474735,GENERAC HOLDINGS INC.,3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
11,https://www.sec.gov/Archives/edgar/data/1415404/000141540417000032/0001415404-17-000032-index.htm,419 KB,0001415404-17-000032,2017-05-24,2017,0001415404,EchoStar CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
17,https://www.sec.gov/Archives/edgar/data/96699/000114420417030389/0001144204-17-030389-index.htm,39 KB,0001144204-17-030389,2017-05-31,2017,0000096699,TECHNICAL COMMUNICATIONS CORP,3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
27,https://www.sec.gov/Archives/edgar/data/769594/000119312517188269/0001193125-17-188269-index.htm,39 KB,0001193125-17-188269,2017-05-31,2017,0000769594,NIPPON TELEGRAPH & TELEPHONE CORP,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
33,https://www.sec.gov/Archives/edgar/data/1046179/000119312517180408/0001193125-17-180408-index.htm,121 KB,0001193125-17-180408,2017-05-24,2017,0001046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,4,"['FORM SD', 'EX-1.01', 'GRAPHIC', 'Complete submission text file']"
39,https://www.sec.gov/Archives/edgar/data/72331/000119312517189286/0001193125-17-189286-index.htm,78 KB,0001193125-17-189286,2017-05-31,2017,0000072331,NORDSON CORP,4,"['FORM SD', 'EX-1.01', 'GRAPHIC', 'Complete submission text file']"
68,https://www.sec.gov/Archives/edgar/data/1021162/000102116217000027/0001021162-17-000027-index.htm,70 KB,0001021162-17-000027,2017-05-30,2017,0001021162,TRIUMPH GROUP INC,3,"['SD - DECEMBER 31, 2016', 'EXHIBIT 1.01 - CONFLICT MINERALS REPORT', 'Complete submission text file']"
76,https://www.sec.gov/Archives/edgar/data/1009626/000100962617000057/0001009626-17-000057-index.htm,588 KB,0001009626-17-000057,2017-05-30,2017,0001009626,BROCADE COMMUNICATIONS SYSTEMS INC,3,"['FORM SD', 'CONFLICT MINERALS REPORT', 'Complete submission text file']"
90,https://www.sec.gov/Archives/edgar/data/24741/000002474117000031/0000024741-17-000031-index.htm,298 KB,0000024741-17-000031,2017-05-30,2017,0000024741,CORNING INC /NY,3,"['FORM SD', 'CONFLICT MINERALS REPORT', 'Complete submission text file']"
99,https://www.sec.gov/Archives/edgar/data/884905/000088490517000046/0000884905-17-000046-index.htm,53 KB,0000884905-17-000046,2017-05-30,2017,0000884905,PRAXAIR INC,3,"['PRAXAIR, INC. 2016 FORM SD', 'PRAXAIR, INC. 2016 CONFLICT MINERALS REPORT', 'Complete submission text file']"
110,https://www.sec.gov/Archives/edgar/data/99780/000009978017000083/0000099780-17-000083-index.htm,244 KB,0000099780-17-000083,2017-05-31,2017,0000099780,TRINITY INDUSTRIES INC,4,"['SD', 'EXHIBIT 1.01', '', 'Complete submission text file']"
122,https://www.sec.gov/Archives/edgar/data/10795/000119312517181884/0001193125-17-181884-index.htm,189 KB,0001193125-17-181884,2017-05-24,2017,0000010795,BECTON DICKINSON & CO,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
128,https://www.sec.gov/Archives/edgar/data/1290109/000119312517188206/0001193125-17-188206-index.htm,129 KB,0001193125-17-188206,2017-05-31,2017,0001290109,"LG Display Co., Ltd.",3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
134,https://www.sec.gov/Archives/edgar/data/1020710/000102071017000005/0001020710-17-000005-index.htm,296 KB,0001020710-17-000005,2017-05-26,2017,0001020710,DXP ENTERPRISES INC,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
137,https://www.sec.gov/Archives/edgar/data/55529/000119312517165551/0001193125-17-165551-index.htm,19 KB,0001193125-17-165551,2017-05-10,2017,0000055529,KEWAUNEE SCIENTIFIC CORP /DE/,3,"['SD', 'EX-1.01', 'Complete submission text file']"
142,https://www.sec.gov/Archives/edgar/data/14930/000001493017000091/0000014930-17-000091-index.htm,160 KB,0000014930-17-000091,2017-05-26,2017,0000014930,BRUNSWICK CORP,4,"['FORM SD', 'CONFLICT MINERALS REPORT', '', 'Complete submission text file']"
148,https://www.sec.gov/Archives/edgar/data/108516/000119312517185478/0001193125-17-185478-index.htm,161 KB,0001193125-17-185478,2017-05-26,2017,0000108516,WORTHINGTON INDUSTRIES INC,3,"['SD/A', 'EX-1.01', 'Complete submission text file']"
149,https://www.sec.gov/Archives/edgar/data/108516/000119312517184672/0001193125-17-184672-index.htm,161 KB,0001193125-17-184672,2017-05-26,2017,0000108516,WORTHINGTON INDUSTRIES INC,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
155,https://www.sec.gov/Archives/edgar/data/1645494/000119312517184215/0001193125-17-184215-index.htm,156 KB,0001193125-17-184215,2017-05-26,2017,0001645494,ARRIS International plc,3,"['SD', 'EX-1.01', 'Complete submission text file']"
157,https://www.sec.gov/Archives/edgar/data/350846/000110465917035058/0001104659-17-035058-index.htm,504 KB,0001104659-17-035058,2017-05-25,2017,0000350846,SUPREME INDUSTRIES INC,3,"['SD', 'EX-1.01', 'Complete submission text file']"
174,https://www.sec.gov/Archives/edgar/data/1377789/000137778917000033/0001377789-17-000033-index.htm,43 KB,0001377789-17-000033,2017-05-31,2017,0001377789,"AVIAT NETWORKS, INC.",3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
190,https://www.sec.gov/Archives/edgar/data/775158/000110465917036588/0001104659-17-036588-index.htm,576 KB,0001104659-17-036588,2017-05-31,2017,0000775158,OSHKOSH CORP,3,"['SD', 'EX-1.01', 'Complete submission text file']"
196,https://www.sec.gov/Archives/edgar/data/719733/000071973317000014/0000719733-17-000014-index.htm,291 KB,0000719733-17-000014,2017-05-25,2017,0000719733,KEY TRONIC CORP,3,"['SD', 'CONFLICT MINERALS REPORT', 'Complete submission text file']"
203,https://www.sec.gov/Archives/edgar/data/1630805/000163080517000040/0001630805-17-000040-index.htm,567 KB,0001630805-17-000040,2017-04-06,2017,0001630805,"Babcock & Wilcox Enterprises, Inc.",3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
207,https://www.sec.gov/Archives/edgar/data/96943/000009694317000082/0000096943-17-000082-index.htm,645 KB,0000096943-17-000082,2017-05-31,2017,0000096943,TELEFLEX INC,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
213,https://www.sec.gov/Archives/edgar/data/94049/000156459017011948/0001564590-17-011948-index.htm,64 KB,0001564590-17-011948,2017-05-31,2017,0000094049,STEPAN CO,3,"['SD', 'EX-1.01', 'Complete submission text file']"
219,https://www.sec.gov/Archives/edgar/data/746598/000074659817000044/0000746598-17-000044-index.htm,513 KB,0000746598-17-000044,2017-05-30,2017,0000746598,BRADY CORP,3,"['SD', 'CONFLICT MINERALS REPORT', 'Complete submission text file']"
231,https://www.sec.gov/Archives/edgar/data/718877/000110465917036583/0001104659-17-036583-index.htm,67 KB,0001104659-17-036583,2017-05-31,2017,0000718877,"Activision Blizzard, Inc.",3,"['SD', 'EX-1.01', 'Complete submission text file']"
242,https://www.sec.gov/Archives/edgar/data/1100441/000119312517174621/0001193125-17-174621-index.htm,46 KB,0001193125-17-174621,2017-05-18,2017,0001100441,"RTI SURGICAL, INC.",3,"['SD', 'EX-1.01', 'Complete submission text file']"
246,https://www.sec.gov/Archives/edgar/data/1093557/000109355717000133/0001093557-17-000133-index.htm,92 KB,0001093557-17-000133,2017-05-31,2017,0001093557,DEXCOM INC,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
252,https://www.sec.gov/Archives/edgar/data/1030894/000110465917035772/0001104659-17-035772-index.htm,1 MB,0001104659-17-035772,2017-05-26,2017,0001030894,CELESTICA INC,3,"['SD', 'EX-1.01', 'Complete submission text file']"
265,https://www.sec.gov/Archives/edgar/data/47217/000004721717000016/0000047217-17-000016-index.htm,980 KB,0000047217-17-000016,2017-05-25,2017,0000047217,HP INC,7,"['SD', 'EXHIBIT 1.01', '', '', '', '', 'Complete submission text file']"
271,https://www.sec.gov/Archives/edgar/data/49728/000004972817000077/0000049728-17-000077-index.htm,65 KB,0000049728-17-000077,2017-05-30,2017,0000049728,IEC ELECTRONICS CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
