,link,size,filing_date,year,cik
1,https://www.sec.gov/Archives/edgar/data/1474735/000143774918010977/0001437749-18-010977-index.htm,39 KB,2018-05-31,2018,0001474735
10,https://www.sec.gov/Archives/edgar/data/1415404/000141540418000018/0001415404-18-000018-index.htm,916 KB,2018-05-29,2018,0001415404
16,https://www.sec.gov/Archives/edgar/data/96699/000117184318004287/0001171843-18-004287-index.htm,37 KB,2018-05-30,2018,0000096699
22,https://www.sec.gov/Archives/edgar/data/1077688/000118518518001022/0001185185-18-001022-index.htm,33 KB,2018-05-31,2018,0001077688
32,https://www.sec.gov/Archives/edgar/data/1046179/000119312518176032/0001193125-18-176032-index.htm,144 KB,2018-05-29,2018,0001046179
38,https://www.sec.gov/Archives/edgar/data/72331/000119312518179411/0001193125-18-179411-index.htm,71 KB,2018-05-31,2018,0000072331
46,https://www.sec.gov/Archives/edgar/data/1100682/000095010318006806/0000950103-18-006806-index.htm,33 KB,2018-05-31,2018,0001100682
52,https://www.sec.gov/Archives/edgar/data/727207/000114420418031179/0001144204-18-031179-index.htm,282 KB,2018-05-29,2018,0000727207
54,https://www.sec.gov/Archives/edgar/data/17843/000110465918032109/0001104659-18-032109-index.htm,26 KB,2018-05-10,2018,0000017843
65,https://www.sec.gov/Archives/edgar/data/1689662/000155837018005003/0001558370-18-005003-index.htm,81 KB,2018-05-30,2018,0001689662
67,https://www.sec.gov/Archives/edgar/data/1021162/000102116218000020/0001021162-18-000020-index.htm,70 KB,2018-05-30,2018,0001021162
83,https://www.sec.gov/Archives/edgar/data/1287151/000128715118000084/0001287151-18-000084-index.htm,28 KB,2018-05-31,2018,0001287151
89,https://www.sec.gov/Archives/edgar/data/24741/000156276218000181/0001562762-18-000181-index.htm,385 KB,2018-05-30,2018,0000024741
95,https://www.sec.gov/Archives/edgar/data/1637761/000163776118000080/0001637761-18-000080-index.htm,24 KB,2018-05-29,2018,0001637761
98,https://www.sec.gov/Archives/edgar/data/884905/000088490518000042/0000884905-18-000042-index.htm,52 KB,2018-05-31,2018,0000884905
104,https://www.sec.gov/Archives/edgar/data/1001250/000110465918036714/0001104659-18-036714-index.htm,25 KB,2018-05-30,2018,0001001250
109,https://www.sec.gov/Archives/edgar/data/99780/000009978018000105/0000099780-18-000105-index.htm,239 KB,2018-05-23,2018,0000099780
115,https://www.sec.gov/Archives/edgar/data/20629/000002062918000040/0000020629-18-000040-index.htm,21 KB,2018-05-31,2018,0000020629
121,https://www.sec.gov/Archives/edgar/data/10795/000119312518170216/0001193125-18-170216-index.htm,281 KB,2018-05-22,2018,0000010795
127,https://www.sec.gov/Archives/edgar/data/1290109/000119312518179457/0001193125-18-179457-index.htm,127 KB,2018-05-31,2018,0001290109
133,https://www.sec.gov/Archives/edgar/data/1020710/000102071018000013/0001020710-18-000013-index.htm,558 KB,2018-05-31,2018,0001020710
136,https://www.sec.gov/Archives/edgar/data/55529/000119312518171606/0001193125-18-171606-index.htm,19 KB,2018-05-23,2018,0000055529
141,https://www.sec.gov/Archives/edgar/data/14930/000001493018000091/0000014930-18-000091-index.htm,161 KB,2018-05-31,2018,0000014930
147,https://www.sec.gov/Archives/edgar/data/108516/000119312518177801/0001193125-18-177801-index.htm,161 KB,2018-05-30,2018,0000108516
154,https://www.sec.gov/Archives/edgar/data/1645494/000119312518168846/0001193125-18-168846-index.htm,167 KB,2018-05-21,2018,0001645494
162,https://www.sec.gov/Archives/edgar/data/1296205/000129620518000003/0001296205-18-000003-index.htm,20 KB,2018-04-06,2018,0001296205
168,https://www.sec.gov/Archives/edgar/data/1132924/000156459018013907/0001564590-18-013907-index.htm,33 KB,2018-05-18,2018,0001132924
173,https://www.sec.gov/Archives/edgar/data/1377789/000137778918000034/0001377789-18-000034-index.htm,43 KB,2018-05-22,2018,0001377789
181,https://www.sec.gov/Archives/edgar/data/1005011/000100501118000005/0001005011-18-000005-index.htm,33 KB,2018-05-24,2018,0001005011
183,https://www.sec.gov/Archives/edgar/data/217410/000165495418006096/0001654954-18-006096-index.htm,29 KB,2018-05-31,2018,0000217410
189,https://www.sec.gov/Archives/edgar/data/775158/000089706918000393/0000897069-18-000393-index.htm,455 KB,2018-05-31,2018,0000775158
195,https://www.sec.gov/Archives/edgar/data/719733/000071973318000014/0000719733-18-000014-index.htm,299 KB,2018-05-18,2018,0000719733
202,https://www.sec.gov/Archives/edgar/data/1630805/000163080518000047/0001630805-18-000047-index.htm,814 KB,2018-03-28,2018,0001630805
206,https://www.sec.gov/Archives/edgar/data/96943/000009694318000126/0000096943-18-000126-index.htm,552 KB,2018-05-31,2018,0000096943
212,https://www.sec.gov/Archives/edgar/data/94049/000156459018014569/0001564590-18-014569-index.htm,81 KB,2018-05-30,2018,0000094049
218,https://www.sec.gov/Archives/edgar/data/746598/000074659818000036/0000746598-18-000036-index.htm,535 KB,2018-05-30,2018,0000746598
224,https://www.sec.gov/Archives/edgar/data/1096056/000109605618000028/0001096056-18-000028-index.htm,20 KB,2018-06-18,2018,0001096056
230,https://www.sec.gov/Archives/edgar/data/718877/000110465918037153/0001104659-18-037153-index.htm,63 KB,2018-05-31,2018,0000718877
236,https://www.sec.gov/Archives/edgar/data/34088/000003408818000026/0000034088-18-000026-index.htm,35 KB,2018-05-23,2018,0000034088
241,https://www.sec.gov/Archives/edgar/data/1100441/000119312518171693/0001193125-18-171693-index.htm,44 KB,2018-05-23,2018,0001100441
245,https://www.sec.gov/Archives/edgar/data/1093557/000109355718000103/0001093557-18-000103-index.htm,87 KB,2018-05-31,2018,0001093557
251,https://www.sec.gov/Archives/edgar/data/1030894/000110465918033911/0001104659-18-033911-index.htm,736 KB,2018-05-17,2018,0001030894
258,https://www.sec.gov/Archives/edgar/data/831259/000083125918000018/0000831259-18-000018-index.htm,22 KB,2018-05-29,2018,0000831259
264,https://www.sec.gov/Archives/edgar/data/47217/000004721718000023/0000047217-18-000023-index.htm,738 KB,2018-05-30,2018,0000047217
270,https://www.sec.gov/Archives/edgar/data/49728/000004972818000075/0000049728-18-000075-index.htm,332 KB,2018-05-30,2018,0000049728
276,https://www.sec.gov/Archives/edgar/data/1521036/000119312518180383/0001193125-18-180383-index.htm,32 KB,2018-05-31,2018,0001521036
280,https://www.sec.gov/Archives/edgar/data/6845/000119312518174755/0001193125-18-174755-index.htm,53 KB,2018-05-25,2018,0000006845
288,https://www.sec.gov/Archives/edgar/data/1383395/000138339518000020/0001383395-18-000020-index.htm,352 KB,2018-05-23,2018,0001383395
294,https://www.sec.gov/Archives/edgar/data/883902/000088390218000020/0000883902-18-000020-index.htm,331 KB,2018-05-24,2018,0000883902
301,https://www.sec.gov/Archives/edgar/data/784199/000139834418008296/0001398344-18-008296-index.htm,30 KB,2018-05-31,2018,0000784199
307,https://www.sec.gov/Archives/edgar/data/1122976/000119312518179785/0001193125-18-179785-index.htm,43 KB,2018-05-31,2018,0001122976
312,https://www.sec.gov/Archives/edgar/data/757011/000075701118000052/0000757011-18-000052-index.htm,25 KB,2018-05-11,2018,0000757011
315,https://www.sec.gov/Archives/edgar/data/21510/000110465918037214/0001104659-18-037214-index.htm,454 KB,2018-05-31,2018,0000021510
321,https://www.sec.gov/Archives/edgar/data/806172/000117152018000277/0001171520-18-000277-index.htm,23 KB,2018-05-31,2018,0000806172
