,link,size,filing_date,year,cik,conformed_name
0,https://www.sec.gov/Archives/edgar/data/1474735/000143774919011154/0001437749-19-011154-index.htm,45 KB,2019-05-31,2019,0001474735,GENERAC HOLDINGS INC.
9,https://www.sec.gov/Archives/edgar/data/1415404/000141540419000028/0001415404-19-000028-index.htm,475 KB,2019-05-29,2019,0001415404,EchoStar CORP
15,https://www.sec.gov/Archives/edgar/data/96699/000117184319003747/0001171843-19-003747-index.htm,18 KB,2019-05-31,2019,0000096699,TECHNICAL COMMUNICATIONS CORP
21,https://www.sec.gov/Archives/edgar/data/1077688/000118518519000831/0001185185-19-000831-index.htm,38 KB,2019-05-31,2019,0001077688,HOOKER FURNITURE CORP
31,https://www.sec.gov/Archives/edgar/data/1046179/000119312519158787/0001193125-19-158787-index.htm,149 KB,2019-05-29,2019,0001046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD
37,https://www.sec.gov/Archives/edgar/data/72331/000119312519161852/0001193125-19-161852-index.htm,91 KB,2019-05-31,2019,0000072331,NORDSON CORP
45,https://www.sec.gov/Archives/edgar/data/1100682/000095010319007003/0000950103-19-007003-index.htm,39 KB,2019-05-30,2019,0001100682,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC."
51,https://www.sec.gov/Archives/edgar/data/727207/000114420419028855/0001144204-19-028855-index.htm,179 KB,2019-05-30,2019,0000727207,"Accelerate Diagnostics, Inc"
53,https://www.sec.gov/Archives/edgar/data/17843/000110465919026426/0001104659-19-026426-index.htm,26 KB,2019-05-02,2019,0000017843,CARPENTER TECHNOLOGY CORP
60,https://www.sec.gov/Archives/edgar/data/1418135/000141813519000040/0001418135-19-000040-index.htm,670 KB,2019-05-29,2019,0001418135,Keurig Dr Pepper Inc.
64,https://www.sec.gov/Archives/edgar/data/1689662/000155837019005370/0001558370-19-005370-index.htm,88 KB,2019-05-30,2019,0001689662,Ardagh Group S.A.
66,https://www.sec.gov/Archives/edgar/data/1021162/000102116219000066/0001021162-19-000066-index.htm,70 KB,2019-05-31,2019,0001021162,TRIUMPH GROUP INC
