,link,size,accession_number,filing_date,year,cik,conformed_name,n_documents_in_filing,documents_in_filing_names
0,https://www.sec.gov/Archives/edgar/data/1474735/000143774919011154/0001437749-19-011154-index.htm,45 KB,0001437749-19-011154,2019-05-31,2019,0001474735,GENERAC HOLDINGS INC.,5,"['FORM SD', 'CONFLICT MINERALS REPORT', '', '', 'Complete submission text file']"
1,https://www.sec.gov/Archives/edgar/data/1474735/000143774918010977/0001437749-18-010977-index.htm,39 KB,0001437749-18-010977,2018-05-31,2018,0001474735,GENERAC HOLDINGS INC.,3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
2,https://www.sec.gov/Archives/edgar/data/1474735/000143774917010176/0001437749-17-010176-index.htm,48 KB,0001437749-17-010176,2017-05-26,2017,0001474735,GENERAC HOLDINGS INC.,3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
3,https://www.sec.gov/Archives/edgar/data/1474735/000143774916033079/0001437749-16-033079-index.htm,47 KB,0001437749-16-033079,2016-05-31,2016,0001474735,GENERAC HOLDINGS INC.,3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
4,https://www.sec.gov/Archives/edgar/data/1474735/000143774915011220/0001437749-15-011220-index.htm,46 KB,0001437749-15-011220,2015-05-28,2015,0001474735,GENERAC HOLDINGS INC.,3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
5,https://www.sec.gov/Archives/edgar/data/1474735/000114036114023885/0001140361-14-023885-index.htm,46 KB,0001140361-14-023885,2014-06-02,2014,0001474735,GENERAC HOLDINGS INC.,3,"['GENERAC HOLDINGS INC SD 12-31-2013', 'EXHIBIT 1.02', 'Complete submission text file']"
6,https://www.sec.gov/Archives/edgar/data/1415336/000119312516608102/0001193125-16-608102-index.htm,43 KB,0001193125-16-608102,2016-05-31,2016,0001415336,Zeltiq Aesthetics Inc,3,"['SD', 'EX-1.01', 'Complete submission text file']"
7,https://www.sec.gov/Archives/edgar/data/1415336/000119312515208886/0001193125-15-208886-index.htm,42 KB,0001193125-15-208886,2015-06-01,2015,0001415336,Zeltiq Aesthetics Inc,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
8,https://www.sec.gov/Archives/edgar/data/1415336/000144530514002420/0001445305-14-002420-index.htm,54 KB,0001445305-14-002420,2014-05-30,2014,0001415336,Zeltiq Aesthetics Inc,3,"['SD', 'EXHIBIT 1.02', 'Complete submission text file']"
9,https://www.sec.gov/Archives/edgar/data/1415404/000141540419000028/0001415404-19-000028-index.htm,475 KB,0001415404-19-000028,2019-05-29,2019,0001415404,EchoStar CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
10,https://www.sec.gov/Archives/edgar/data/1415404/000141540418000018/0001415404-18-000018-index.htm,916 KB,0001415404-18-000018,2018-05-29,2018,0001415404,EchoStar CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
11,https://www.sec.gov/Archives/edgar/data/1415404/000141540417000032/0001415404-17-000032-index.htm,419 KB,0001415404-17-000032,2017-05-24,2017,0001415404,EchoStar CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
12,https://www.sec.gov/Archives/edgar/data/1415404/000141540416000017/0001415404-16-000017-index.htm,1 MB,0001415404-16-000017,2016-05-26,2016,0001415404,EchoStar CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
13,https://www.sec.gov/Archives/edgar/data/1415404/000110465915042400/0001104659-15-042400-index.htm,1 MB,0001104659-15-042400,2015-06-01,2015,0001415404,EchoStar CORP,3,"['SD', 'EX-1.01', 'Complete submission text file']"
14,https://www.sec.gov/Archives/edgar/data/1415404/000110465914043397/0001104659-14-043397-index.htm,71 KB,0001104659-14-043397,2014-06-02,2014,0001415404,EchoStar CORP,3,"['SD', 'EX-1.02', 'Complete submission text file']"
15,https://www.sec.gov/Archives/edgar/data/96699/000117184319003747/0001171843-19-003747-index.htm,18 KB,0001171843-19-003747,2019-05-31,2019,0000096699,TECHNICAL COMMUNICATIONS CORP,2,"['FORM SD', 'Complete submission text file']"
16,https://www.sec.gov/Archives/edgar/data/96699/000117184318004287/0001171843-18-004287-index.htm,37 KB,0001171843-18-004287,2018-05-30,2018,0000096699,TECHNICAL COMMUNICATIONS CORP,3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
17,https://www.sec.gov/Archives/edgar/data/96699/000114420417030389/0001144204-17-030389-index.htm,39 KB,0001144204-17-030389,2017-05-31,2017,0000096699,TECHNICAL COMMUNICATIONS CORP,3,"['FORM SD', 'EXHIBIT 1.01', 'Complete submission text file']"
18,https://www.sec.gov/Archives/edgar/data/96699/000114420416105866/0001144204-16-105866-index.htm,40 KB,0001144204-16-105866,2016-05-31,2016,0000096699,TECHNICAL COMMUNICATIONS CORP,3,"['SD', 'EXHIBIT 1.01', 'Complete submission text file']"
19,https://www.sec.gov/Archives/edgar/data/96699/000119312515206685/0001193125-15-206685-index.htm,30 KB,0001193125-15-206685,2015-05-29,2015,0000096699,TECHNICAL COMMUNICATIONS CORP,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
20,https://www.sec.gov/Archives/edgar/data/96699/000119312514222281/0001193125-14-222281-index.htm,29 KB,0001193125-14-222281,2014-06-02,2014,0000096699,TECHNICAL COMMUNICATIONS CORP,3,"['FORM SD', 'EX-1.02', 'Complete submission text file']"
21,https://www.sec.gov/Archives/edgar/data/1077688/000118518519000831/0001185185-19-000831-index.htm,38 KB,0001185185-19-000831,2019-05-31,2019,0001077688,HOOKER FURNITURE CORP,2,"['FORM SD', 'Complete submission text file']"
22,https://www.sec.gov/Archives/edgar/data/1077688/000118518518001022/0001185185-18-001022-index.htm,33 KB,0001185185-18-001022,2018-05-31,2018,0001077688,HOOKER FURNITURE CORP,2,"['SD', 'Complete submission text file']"
23,https://www.sec.gov/Archives/edgar/data/1077688/000118518517001303/0001185185-17-001303-index.htm,35 KB,0001185185-17-001303,2017-05-31,2017,0001077688,HOOKER FURNITURE CORP,2,"['SD', 'Complete submission text file']"
24,https://www.sec.gov/Archives/edgar/data/1077688/000118518516004743/0001185185-16-004743-index.htm,34 KB,0001185185-16-004743,2016-05-31,2016,0001077688,HOOKER FURNITURE CORP,2,"['SD', 'Complete submission text file']"
25,https://www.sec.gov/Archives/edgar/data/1077688/000118518515001521/0001185185-15-001521-index.htm,38 KB,0001185185-15-001521,2015-06-01,2015,0001077688,HOOKER FURNITURE CORP,2,"['SD', 'Complete submission text file']"
26,https://www.sec.gov/Archives/edgar/data/1077688/000118518514001487/0001185185-14-001487-index.htm,37 KB,0001185185-14-001487,2014-06-02,2014,0001077688,HOOKER FURNITURE CORP,2,"['SD', 'Complete submission text file']"
27,https://www.sec.gov/Archives/edgar/data/769594/000119312517188269/0001193125-17-188269-index.htm,39 KB,0001193125-17-188269,2017-05-31,2017,0000769594,NIPPON TELEGRAPH & TELEPHONE CORP,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
28,https://www.sec.gov/Archives/edgar/data/769594/000119312516607105/0001193125-16-607105-index.htm,38 KB,0001193125-16-607105,2016-05-31,2016,0000769594,NIPPON TELEGRAPH & TELEPHONE CORP,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
29,https://www.sec.gov/Archives/edgar/data/769594/000119312515205123/0001193125-15-205123-index.htm,39 KB,0001193125-15-205123,2015-05-29,2015,0000769594,NIPPON TELEGRAPH & TELEPHONE CORP,3,"['FORM SD', 'EX-1.01', 'Complete submission text file']"
