,cik,companyname,entityid,primaryexchange,primarysymbol,siccode,sicdescription,feed_url,SD_url_2014,SD_url_2015,SD_url_2016,feed_retrieved_date
0,706688,AARON'S INC,2480,NYSE,AAN,7359,"Equipment Rental and Leasing, Not Elsewhere Classified",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=706688&start=0&type=SD,,,,2016-04-30
1,824142,AAON INC,938,Nasdaq Global Market,AAON,3585,Air-Conditioning and Warm Air Heating Equipment and Commercial a,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=824142&start=0&type=SD,,,,2016-04-30
2,881890,ABAXIS INC,11929,Nasdaq Global Market,ABAX,3829,"Measuring and Controlling Devices, Not Elsewhere Classified",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=881890&start=0&type=SD,,,,2016-04-30
3,1551152,ABBVIE INC.,883230,NYSE,ABBV,2834,Pharmaceutical Preparations,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1551152&start=0&type=SD,,,,2016-04-30
4,1800,ABBOTT LABORATORIES,5054,NYSE,ABT,2834,Pharmaceutical Preparations,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1800&start=0&type=SD,,,,2016-04-30
5,1750,AAR CORP,8804,NYSE,AIR,3720,Aircraft And Parts,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1750&start=0&type=SD,,,,2016-04-30
6,1580808,"A10 NETWORKS, INC.",910463,NYSE,ATEN,3576,Computer Communications Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1580808&start=0&type=SD,,,,2016-04-30
7,910638,3D SYSTEMS CORP,5580,NYSE,DDD,7372,Prepackaged Software,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=910638&start=0&type=SD,,,,2016-04-30
8,66740,3M CO,5248,NYSE,MMM,3841,Surgical and Medical Instruments and Apparatus,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=66740&start=0&type=SD,,,,2016-04-30
9,815094,ABIOMED INC,4093,Nasdaq Global Market,ABMD,3841,Surgical and Medical Instruments and Apparatus,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=815094&start=0&type=SD,,,,2016-04-30
10,712034,ACCO BRANDS CORP,582568,NYSE,ACCO,2780,"Blankbooks, Looseleaf Binders, And Bookbinding",https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=712034&start=0&type=SD,,,,2016-04-30
11,880984,"ACORN ENERGY, INC.",3582,OTC,ACFN,8711,Engineering Services,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=880984&start=0&type=SD,,,,2016-04-30
12,1044435,ACTIVE POWER INC,76141,Nasdaq Capital Market,ACPW,4911,Electric Services,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1044435&start=0&type=SD,,,,2016-04-30
13,817979,ACCURIDE CORP,50901,NYSE,ACW,3714,Motor Vehicle Parts and Accessories,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=817979&start=0&type=SD,,,,2016-04-30
14,1018840,ABERCROMBIE & FITCH CO /DE/,6231,NYSE,ANF,5651,Family Clothing Stores,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1018840&start=0&type=SD,,,,2016-04-30
15,1138723,ACCURAY INC,104630,Nasdaq Global Market,ARAY,3841,Surgical and Medical Instruments and Apparatus,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1138723&start=0&type=SD,,,,2016-04-30
16,6955,ACTUANT CORP,1718,NYSE,ATU,3590,Miscellaneous Industrial And Commercial,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=6955&start=0&type=SD,,,,2016-04-30
17,718877,"ACTIVISION BLIZZARD, INC.",9358,Nasdaq Global Market,ATVI,7372,Prepackaged Software,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=718877&start=0&type=SD,,,,2016-04-30
18,1144215,ACUITY BRANDS INC,88293,NYSE,AYI,3640,Electric Lighting And Wiring Equipment,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1144215&start=0&type=SD,,,,2016-04-30
19,1090872,AGILENT TECHNOLOGIES INC,8244,NYSE,A,3826,Laboratory Analytical Instruments,https://www.sec.gov/cgi-bin/browse-edgar?owner=exclude&count=40&output=atom&action=getcompany&CIK=1090872&start=0&type=SD,,,,2016-04-30
