,cik,companyname,entityid,primaryexchange,primarysymbol,siccode,sicdescription
0,0000706688,AARON'S INC,2480,NYSE,AAN,7359,"Equipment Rental and Leasing, Not Elsewhere Classified"
1,0000824142,AAON INC,938,Nasdaq Global Market,AAON,3585,Air-Conditioning and Warm Air Heating Equipment and Commercial a
2,0000881890,ABAXIS INC,11929,Nasdaq Global Market,ABAX,3829,"Measuring and Controlling Devices, Not Elsewhere Classified"
3,0001551152,ABBVIE INC.,883230,NYSE,ABBV,2834,Pharmaceutical Preparations
4,0000001800,ABBOTT LABORATORIES,5054,NYSE,ABT,2834,Pharmaceutical Preparations
5,0000001750,AAR CORP,8804,NYSE,AIR,3720,Aircraft And Parts
6,0001580808,"A10 NETWORKS, INC.",910463,NYSE,ATEN,3576,Computer Communications Equipment
7,0000910638,3D SYSTEMS CORP,5580,NYSE,DDD,7372,Prepackaged Software
8,0000066740,3M CO,5248,NYSE,MMM,3841,Surgical and Medical Instruments and Apparatus
9,0000815094,ABIOMED INC,4093,Nasdaq Global Market,ABMD,3841,Surgical and Medical Instruments and Apparatus
10,0000712034,ACCO BRANDS CORP,582568,NYSE,ACCO,2780,"Blankbooks, Looseleaf Binders, And Bookbinding"
11,0000880984,"ACORN ENERGY, INC.",3582,OTC,ACFN,8711,Engineering Services
12,0001044435,ACTIVE POWER INC,76141,Nasdaq Capital Market,ACPW,4911,Electric Services
13,0000817979,ACCURIDE CORP,50901,NYSE,ACW,3714,Motor Vehicle Parts and Accessories
14,0001018840,ABERCROMBIE & FITCH CO /DE/,6231,NYSE,ANF,5651,Family Clothing Stores
15,0001138723,ACCURAY INC,104630,Nasdaq Global Market,ARAY,3841,Surgical and Medical Instruments and Apparatus
16,0000006955,ACTUANT CORP,1718,NYSE,ATU,3590,Miscellaneous Industrial And Commercial
17,0000718877,"ACTIVISION BLIZZARD, INC.",9358,Nasdaq Global Market,ATVI,7372,Prepackaged Software
18,0001144215,ACUITY BRANDS INC,88293,NYSE,AYI,3640,Electric Lighting And Wiring Equipment
19,0001090872,AGILENT TECHNOLOGIES INC,8244,NYSE,A,3826,Laboratory Analytical Instruments
20,0000785787,AEP INDUSTRIES INC,3900,Nasdaq Global Market,AEPI,3081,Unsupported Plastics Film and Sheet
21,0000880266,AGCO CORP /DE,8527,NYSE,AGCO,3523,Farm Machinery and Equipment
22,0001009891,AIR INDUSTRIES GROUP,71457,NYSE MKT,AIRI,3728,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified"
23,0000816159,AIR METHODS CORP,6171,Nasdaq Global Market,AIRM,4522,"Air Transportation, Nonscheduled"
24,0000040888,"AEROJET ROCKETDYNE HOLDINGS, INC.",10017,NYSE,AJRD,3760,Guided Missiles And Space Vehicles And Parts
25,0000002969,AIR PRODUCTS & CHEMICALS INC /DE/,7570,NYSE,APD,2810,Industrial Inorganic Chemicals
26,0000804212,AIRGAS INC,3632,NYSE,ARG,5084,Industrial Machinery and Equipment
27,0001368622,AEROVIRONMENT INC,722088,Nasdaq Global Market,AVAV,3721,Aircraft
28,0000004281,ALCOA INC.,10803,NYSE,AA,3350,"Rolling, Drawing, And Extruding Of Nonferrous"
29,0000819793,ALBANY INTERNATIONAL CORP /DE/,9956,NYSE,AIN,2221,"Broadwoven Fabric Mills, Manmade Fiber and Silk"
30,0000915913,ALBEMARLE CORP,8245,NYSE,ALB,2821,"Plastics Materials, Synthetic Resins, and Nonvulcanizable Elasto"
31,0000897077,ALAMO GROUP INC,5734,NYSE,ALG,3523,Farm Machinery and Equipment
32,0001097149,ALIGN TECHNOLOGY INC,80922,Nasdaq Global Market,ALGN,3842,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies"
33,0001145460,ALERE INC.,89370,NYSE,ALR,2835,In Vitro and In Vivo Diagnostic Substances
34,0000886125,ALCATEL LUCENT,10386,NYSE,ALU,3661,Telephone and Telegraph Apparatus
35,0001344413,ALEXZA PHARMACEUTICALS INC.,694307,Nasdaq Global Market,ALXA,2834,Pharmaceutical Preparations
36,0001018963,ALLEGHENY TECHNOLOGIES INC,4515,NYSE,ATI,3317,Steel Pipe and Tubes
37,0001101215,ALLIANCE DATA SYSTEMS CORP,70958,NYSE,ADS,7389,"Business Services, Not Elsewhere Classified"
38,0001122342,ALLIANCE FIBER OPTIC PRODUCTS INC,79266,Nasdaq Capital Market,AFOP,3674,Semiconductors and Related Devices
39,0001344980,"ALLIANCE HOLDINGS GP, L.P.",691539,Nasdaq Global Market,AHGP,1221,Bituminous Coal and Lignite Surface Mining
40,0001579241,ALLEGION PLC,908913,NYSE,ALLE,7381,"Detective, Guard, and Armored Car Services"
41,0001365767,ALLOT COMMUNICATIONS LTD.,724863,Nasdaq Global Market,ALLT,3576,Computer Communications Equipment
42,0001411207,ALLISON TRANSMISSION HOLDINGS INC,755761,NYSE,ALSN,3714,Motor Vehicle Parts and Accessories
43,0000046129,ALLIED MOTION TECHNOLOGIES INC,6560,Nasdaq Global Market,AMOT,3825,Instruments for Measuring and Testing of Electricity and Electri
44,0001387467,ALPHA & OMEGA SEMICONDUCTOR LTD,732422,Nasdaq Global Market,AOSL,3674,Semiconductors and Related Devices
45,0001086600,ALLIANCE RESOURCE PARTNERS LP,9984,Nasdaq Global Market,ARLP,1221,Bituminous Coal and Lignite Surface Mining
46,0001350653,"ALPHATEC HOLDINGS, INC.",698514,Nasdaq Global Market,ATEC,3841,Surgical and Medical Instruments and Apparatus
47,0000919012,AMERICAN EAGLE OUTFITTERS INC,1498,NYSE,AEO,5651,Family Clothing Stores
48,0001374535,ALTRA INDUSTRIAL MOTION CORP.,722111,Nasdaq Global Market,AIMC,3569,"General Industrial Machinery and Equipment, Not Elsewhere"
49,0001280263,AMBARELLA INC,622350,Nasdaq Global Market,AMBA,3674,Semiconductors and Related Devices
50,0001488139,"AMERESCO, INC.",825041,NYSE,AMRC,1700,Construction - Special Trade Contractors
51,0001018724,AMAZON COM INC,7235,Nasdaq Global Market,AMZN,5961,Catalog and Mail-Order Houses
52,0001344596,"AMERICAN RAILCAR INDUSTRIES, INC.",693099,Nasdaq Global Market,ARII,3743,Railroad Equipment
53,0000005768,"AMERICAN SCIENCE & ENGINEERING, INC.",9591,Nasdaq Global Market,ASEI,3844,X-Ray Apparatus and Tubes and Related Irradiation Apparatus
54,0001062231,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,11434,NYSE,AXL,3714,Motor Vehicle Parts and Accessories
55,0000764180,"ALTRIA GROUP, INC.",8363,NYSE,MO,2111,Cigarettes
56,0001140859,AMERISOURCEBERGEN CORP,86687,NYSE,ABC,5122,"Drugs, Drug Proprietaries, and Druggists' Sundries"
57,0000006281,ANALOG DEVICES INC,11545,Nasdaq Global Market,ADI,3674,Semiconductors and Related Devices
58,0000006284,ANALOGIC CORP,8785,Nasdaq Global Market,ALOG,3825,Instruments for Measuring and Testing of Electricity and Electri
59,0001037868,AMETEK INC/,6134,NYSE,AME,3621,Motors and Generators
60,0001047127,"AMKOR TECHNOLOGY, INC.",7044,Nasdaq Global Market,AMKR,3674,Semiconductors and Related Devices
61,0000880807,AMERICAN SUPERCONDUCTOR CORP /DE/,11268,Nasdaq Global Market,AMSC,3621,Motors and Generators
62,0000006176,AMPCO PITTSBURGH CORP,10196,NYSE,AP,3561,Pumps and Pumping Equipment
63,0000820313,AMPHENOL CORP /DE/,6530,NYSE,APH,3678,Electronic Connectors
64,0000720500,AMTECH SYSTEMS INC,9297,Nasdaq Global Market,ASYS,3559,"Special Industry Machinery, Not Elsewhere Classified"
65,0000320193,APPLE INC,2035,Nasdaq Global Market,AAPL,3571,Electronic Computers
66,0000109563,APPLIED INDUSTRIAL TECHNOLOGIES INC,5946,NYSE,AIT,5080,"Machinery, Equipment, And Supplies"
67,0000006951,APPLIED MATERIALS INC /DE,2730,Nasdaq Global Market,AMAT,3674,Semiconductors and Related Devices
68,0000711065,APPLIED MICRO CIRCUITS CORP,9399,Nasdaq Global Market,AMCC,3674,Semiconductors and Related Devices
69,0000006845,"APOGEE ENTERPRISES, INC.",11973,Nasdaq Global Market,APOG,3231,"Glass Products, Made of Purchased Glass"
70,0000896622,APTARGROUP INC,2149,NYSE,ATR,3089,"Plastics Products, Not Elsewhere Classified"
71,0000052795,ANIXTER INTERNATIONAL INC,6085,NYSE,AXE,5063,"Electrical Apparatus and Equipment Wiring Supplies, and Construc"
72,0000719866,ARCTIC CAT INC,6923,Nasdaq Global Market,ACAT,3790,Miscellaneous Transportation Equipment
73,0001508478,ARCOS DORADOS HOLDINGS INC.,851067,NYSE,ARCO,5812,Eating Places
74,0001141107,ARRIS GROUP INC,86730,Nasdaq Global Market,ARRS,3663,Radio and Television Broadcasting and Communications Equipment
75,0000916529,AROTECH CORP,4613,Nasdaq Global Market,ARTX,3690,"Miscellaneous Electrical Machinery, Equipment,"
76,0000007536,ARROW ELECTRONICS INC,10480,NYSE,ARW,5065,"Electronic Parts and Equipment, Not Elsewhere Classified"
77,0000007431,ARMSTRONG WORLD INDUSTRIES INC,462,NYSE,AWI,3089,"Plastics Products, Not Elsewhere Classified"
78,0000819689,ARRHYTHMIA RESEARCH TECHNOLOGY INC /DE/,7961,NYSE MKT,HRT,3845,Electromedical and Electrotherapeutic Apparatus
79,0001243429,ARCELORMITTAL,411933,NYSE,MT,3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling "
80,0000008146,ASTRO MED INC /NEW/,9911,Nasdaq Global Market,ALOT,3577,"Computer Peripheral Equipment, Not Elsewhere Classified"
81,0001026980,ASIA PACIFIC WIRE & CABLE CORP LTD,2505,Nasdaq Global Market,APWC,3357,Drawing and Insulating of Nonferrous Wire
82,0000007623,ARTS WAY MANUFACTURING CO INC,4281,Nasdaq Capital Market,ARTW,3523,Farm Machinery and Equipment
83,0001305014,ASHLAND INC.,652025,NYSE,ASH,5160,Chemicals And Allied Products
84,0000316888,AVINO SILVER & GOLD MINES LTD,188963,NYSE MKT,ASM,1000,Metal Mining
85,0000937966,ASML HOLDING NV,10888,Nasdaq Global Market,ASML,3559,"Special Industry Machinery, Not Elsewhere Classified"
86,0001498301,"ASCENA RETAIL GROUP, INC.",835398,Nasdaq Global Market,ASNA,5600,Retail-Apparel & Accessory Stores
87,0000792987,ASTEC INDUSTRIES INC,11104,Nasdaq Global Market,ASTE,3531,Construction Machinery and Equipment
88,0000008063,ASTRONICS CORP,8929,Nasdaq Global Market,ATRO,3728,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified"
89,0001113232,AXCELIS TECHNOLOGIES INC,75852,Nasdaq Global Market,ACLS,3559,"Special Industry Machinery, Not Elsewhere Classified"
90,0000896841,"AVID TECHNOLOGY, INC.",3925,Nasdaq Global Market,AVID,3861,Photographic Equipment and Supplies
91,0001377789,"AVIAT NETWORKS, INC.",723464,Nasdaq Global Market,AVNW,3663,Radio and Television Broadcasting and Communications Equipment
92,0000008868,AVON PRODUCTS INC,1328,NYSE,AVP,2844,"Perfumes, Cosmetics, and Other Toilet Preparations"
93,0000008858,AVNET INC,7983,NYSE,AVT,5065,"Electronic Parts and Equipment, Not Elsewhere Classified"
94,0000859163,AVX CORP,461,NYSE,AVX,3670,Electronic Components And Accessories
95,0000805264,AXIALL CORP/DE/,73,NYSE,AXLL,2821,"Plastics Materials, Synthetic Resins, and Nonvulcanizable Elasto"
96,0000861361,B/E AEROSPACE INC,1194,Nasdaq Global Market,BEAV,2531,Public Building and Related Furniture
97,0000009092,BADGER METER INC,3683,NYSE,BMI,3824,Totalizing Fluid Meters and Counting Devices
98,0000009984,BARNES GROUP INC,9112,NYSE,B,3490,Miscellaneous Fabricated Metal Products
99,0000010456,BAXTER INTERNATIONAL INC,9422,NYSE,BAX,3841,Surgical and Medical Instruments and Apparatus
100,0000886158,BED BATH & BEYOND INC,6869,Nasdaq Global Market,BBBY,5700,"Retail-Home Furniture, Furnishings & Equipment Stores"
101,0000009892,BARD C R INC /NJ/,2734,NYSE,BCR,3841,Surgical and Medical Instruments and Apparatus
102,0000010795,BECTON DICKINSON & CO,7018,NYSE,BDX,3841,Surgical and Medical Instruments and Apparatus
103,0001059272,"BEBE STORES, INC.",295,Nasdaq Global Market,BEBE,2330,"Women's, Misses', And Juniors' Outerwear"
104,0000808362,BAKER HUGHES INC,4375,NYSE,BHI,3533,Oil and Gas Field Machinery and Equipment
105,0000890491,BARNES & NOBLE INC,11529,NYSE,BKS,5940,Miscellaneous Shopping Goods Stores
106,0000009389,BALL CORP,7440,NYSE,BLL,3411,Metal Cans
107,0000010329,BASSETT FURNITURE INDUSTRIES INC,7609,Nasdaq Global Market,BSET,2511,"Wood Household Furniture, Except Upholstered"
108,0000764478,BEST BUY CO INC,11055,NYSE,BBY,5731,"Radio, Television, and Consumer Electronics Stores"
109,0000913142,BELDEN INC.,2365,NYSE,BDC,3357,Drawing and Insulating of Nonferrous Wire
110,0001156388,BIG 5 SPORTING GOODS CORP,89980,Nasdaq Global Market,BGFV,5940,Miscellaneous Shopping Goods Stores
111,0000863436,BENCHMARK ELECTRONICS INC,4079,NYSE,BHE,3672,Printed Circuit Boards
112,0000012208,BIO RAD LABORATORIES INC,10455,NYSE,BIO,3826,Laboratory Analytical Instruments
113,0000811240,"BIOLASE, INC",753,Nasdaq Capital Market,BIOL,3843,Dental Equipment and Supplies
114,0000011199,BEMIS CO INC,6339,NYSE,BMS,2670,"Converted Paper And Paperboard Products, Except"
115,0000012927,BOEING CO,11757,NYSE,BA,3721,Aircraft
116,0000849547,BLACK BOX CORP,4311,Nasdaq Global Market,BBOX,3576,Computer Communications Equipment
117,0000913277,"BLACK DIAMOND, INC.",1118,Nasdaq Global Market,BDE,3949,"Sporting and Athletic Goods, Not Elsewhere Classified"
118,0001000683,BLONDER TONGUE LABORATORIES INC,10673,NYSE MKT,BDR,3663,Radio and Television Broadcasting and Communications Equipment
119,0001574774,"BIOTELEMETRY, INC.",904857,Nasdaq Global Market,BEAT,3841,Surgical and Medical Instruments and Apparatus
120,0001179821,BIRKS GROUP INC.,376591,NYSE MKT,BGI,5944,Jewelry Stores
121,0001091171,BLUE NILE INC,154202,Nasdaq Global Market,NILE,5944,Jewelry Stores
122,0001443646,BOOZ ALLEN HAMILTON HOLDING CORP,786199,NYSE,BAH,8742,Management Consulting Services
123,0000014195,BRIGGS & STRATTON CORP,7022,NYSE,BGG,3510,Engines And Turbines
124,0000878079,BON TON STORES INC,1993,Nasdaq Global Market,BONT,5311,Department Stores
125,0000746598,BRADY CORP,1042,NYSE,BRC,3990,Miscellaneous Manufacturing Industries
126,0000885725,BOSTON SCIENTIFIC CORP,10001,NYSE,BSX,3841,Surgical and Medical Instruments and Apparatus
127,0000719135,BOVIE MEDICAL CORP,6675,NYSE MKT,BVX,3841,Surgical and Medical Instruments and Apparatus
128,0000908255,BORGWARNER INC,5681,NYSE,BWA,3714,Motor Vehicle Parts and Accessories
129,0000014930,BRUNSWICK CORP,11459,NYSE,BC,3510,Engines And Turbines
130,0000885245,BUCKLE INC,8024,NYSE,BKE,5651,Family Clothing Stores
131,0001316835,"BUILDERS FIRSTSOURCE, INC.",664289,Nasdaq Global Market,BLDR,5211,Lumber and Other Building Materials Dealers
132,0001009626,BROCADE COMMUNICATIONS SYSTEMS INC,7476,Nasdaq Global Market,BRCD,3576,Computer Communications Equipment
133,0001109354,BRUKER CORP,75311,Nasdaq Global Market,BRKR,3826,Laboratory Analytical Instruments
134,0000933974,BROOKS AUTOMATION INC,7353,Nasdaq Global Market,BRKS,3559,"Special Industry Machinery, Not Elsewhere Classified"
135,0001120370,"BROADWIND ENERGY, INC.",78375,Nasdaq Capital Market,BWEN,3360,Nonferrous Foundries (castings)
136,0001267130,CABELAS INC,600278,NYSE,CAB,5940,Miscellaneous Shopping Goods Stores
137,0001615817,C&J ENERGY SERVICES LTD.,945761,NYSE,CJES,1389,"Oil and Gas Field Services, Not Elsewhere Classified"
138,0000016058,CACI INTERNATIONAL INC /DE/,5935,NYSE,CACI,7373,Computer Integrated Systems Design
139,0001173382,CAE INC,114626,NYSE,CAE,3690,"Miscellaneous Electrical Machinery, Equipment,"
140,0000014707,CALERES INC,8869,NYSE,CAL,3140,"Footwear, Except Rubber"
141,0001406666,"CALIX, INC",750845,NYSE,CALX,4899,"Communications Services, Not Elsewhere Classified"
142,0000941548,CAMERON INTERNATIONAL CORP,9356,NYSE,CAM,3533,Oil and Gas Field Machinery and Equipment
143,0000730255,CALAMP CORP.,3997,Nasdaq Global Market,CAMP,3663,Radio and Television Broadcasting and Communications Equipment
144,0000016040,CABOT CORP,70,NYSE,CBT,2890,Miscellaneous Chemical Products
145,0000812701,CALGON CARBON CORP,4085,NYSE,CCC,2810,Industrial Inorganic Chemicals
146,0000813672,CADENCE DESIGN SYSTEMS INC,1065,Nasdaq Global Market,CDNS,7372,Prepackaged Software
147,0000837465,CALLAWAY GOLF CO,7974,NYSE,ELY,3949,"Sporting and Athletic Goods, Not Elsewhere Classified"
148,0000018230,CATERPILLAR INC,1532,NYSE,CAT,3531,Construction Machinery and Equipment
149,0001175609,"CAVIUM, INC.",113084,Nasdaq Global Market,CAVM,3674,Semiconductors and Related Devices
150,0000018396,CDI CORP,5570,NYSE,CDI,7363,Help Supply Services
151,0001306830,CELANESE CORP,654118,NYSE,CE,2820,"Plastics Materials And Synthetic Resins, Synthetic"
152,0000003197,CECO ENVIRONMENTAL CORP,11381,Nasdaq Global Market,CECE,3564,Industrial and Commercial Fans and Blowers and Air Purification 
153,0000804753,CERNER CORP /MO/,11494,Nasdaq Global Market,CERN,7373,Computer Integrated Systems Design
154,0001030894,CELESTICA INC,58895,NYSE,CLS,3672,Printed Circuit Boards
155,0001037760,CEPHEID,75057,Nasdaq Global Market,CPHD,3826,Laboratory Analytical Instruments
156,0000864559,CASCADE MICROTECH INC,79840,Nasdaq Global Market,CSCD,3825,Instruments for Measuring and Testing of Electricity and Electri
157,0000278166,CAVCO INDUSTRIES INC,13892,Nasdaq Global Market,CVCO,2451,Mobile Homes
158,0001027884,CHICAGO BRIDGE & IRON CO N V,1776,NYSE,CBI,1700,Construction - Special Trade Contractors
159,0000830524,CHASE CORP,2207,NYSE MKT,CCF,3640,Electric Lighting And Wiring Equipment
160,0001020214,CERUS CORP,11233,Nasdaq Global Market,CERS,3841,Surgical and Medical Instruments and Apparatus
161,0001037962,CGG,49284,NYSE,CGG,1382,Oil and Gas Field Exploration Services
162,0001091862,CHEMTURA CORP,1226,NYSE,CHMT,2820,"Plastics Materials And Synthetic Resins, Synthetic"
163,0000215419,CHECKPOINT SYSTEMS INC,8255,NYSE,CKP,3669,"Communications Equipment, Not Elsewhere Classified"
164,0001100682,CHARLES RIVER LABORATORIES INTERNATIONAL INC,69864,NYSE,CRL,8731,Commercial Physical and Biological Research
165,0001015155,CHARLES & COLVARD LTD,11968,Nasdaq Global Market,CTHR,3910,"Jewelry, Silverware, And Plated Ware"
166,0000093410,CHEVRON CORP,9178,NYSE,CVX,2911,Petroleum Refining
167,0000892553,CHART INDUSTRIES INC,7819,Nasdaq Global Market,GTLS,3443,Fabricated Plate Work (Boiler Shops)
168,0001091883,CIRCOR INTERNATIONAL INC,1157,NYSE,CIR,3490,Miscellaneous Fabricated Metal Products
169,0000020740,CLARCOR INC.,8243,NYSE,CLC,3714,Motor Vehicle Parts and Accessories
170,0000796505,"CLEARFIELD, INC.",11934,Nasdaq Global Market,CLFD,3661,Telephone and Telegraph Apparatus
171,0001368265,CLEAN ENERGY FUELS CORP.,720002,Nasdaq Global Market,CLNE,4932,Gas and Other Services Combined
172,0000021076,CLOROX CO /DE/,1435,NYSE,CLX,2842,"Specialty Cleaning, Polishing, and Sanitation Preparations"
173,0001567094,CNH INDUSTRIAL N.V.,906559,NYSE,CNHI,3531,Construction Machinery and Equipment
174,0001116132,COACH INC,76950,NYSE,COH,3100,Leather & Leather Products
175,0000772406,CIRRUS LOGIC INC,2665,Nasdaq Global Market,CRUS,3674,Semiconductors and Related Devices
176,0000858877,"CISCO SYSTEMS, INC.",3894,Nasdaq Global Market,CSCO,3576,Computer Communications Equipment
177,0000877890,CITRIX SYSTEMS INC,11184,Nasdaq Global Market,CTXS,7372,Prepackaged Software
178,0001420800,COLFAX CORP,766392,NYSE,CFX,3561,Pumps and Pumping Equipment
179,0000851205,COGNEX CORP,5967,Nasdaq Global Market,CGNX,3823,"Industrial Instruments for Measurement, Display, and Control of "
180,0000021665,COLGATE PALMOLIVE CO,10500,NYSE,CL,2844,"Perfumes, Cosmetics, and Other Toilet Preparations"
181,0000022444,COMMERCIAL METALS CO,7874,NYSE,CMC,3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling "
182,0001005229,COLUMBUS MCKINNON CORP,7942,Nasdaq Global Market,CMCO,3531,Construction Machinery and Equipment
183,0000021510,COHERENT INC,9583,Nasdaq Global Market,COHR,3826,Laboratory Analytical Instruments
