,cik,companyname,entityid,primaryexchange,primarysymbol,siccode,sicdescription
0,0001433660,JOHN BEAN TECHNOLOGIES CORP,777176,NYSE,JBT,3550,"Special Industry Machinery, Except Metalworking"
1,0000072903,XCEL ENERGY INC,1763,NYSE,XEL,4931,Electric and Other Services Combined
2,0000789933,NACCO INDUSTRIES INC,1939,NYSE,NC,3630,Household Appliances
3,0000200406,JOHNSON & JOHNSON,10313,NYSE,JNJ,2834,Pharmaceutical Preparations
4,0001442145,"VERISK ANALYTICS, INC.",785278,Nasdaq Global Market,VRSK,7374,Computer Processing and Data Preparation and Processing Services
5,0000945114,SYSTEMAX INC,7641,NYSE,SYX,5961,Catalog and Mail-Order Houses
6,0001145197,INSULET CORP,155972,Nasdaq Global Market,PODD,3841,Surgical and Medical Instruments and Apparatus
7,0000067716,MDU RESOURCES GROUP INC,10788,NYSE,MDU,1400,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
8,0000076334,PARKER HANNIFIN CORP,9387,NYSE,PH,3490,Miscellaneous Fabricated Metal Products
9,0001584509,ARAMARK,914974,NYSE,ARMK,5812,Eating Places
10,0000028412,COMERICA INC /NEW/,3777,NYSE,CMA,6021,National Commercial Banks
11,0001120295,IXIA,77928,Nasdaq Global Market,XXIA,3825,Instruments for Measuring and Testing of Electricity and Electri
12,0001575965,"GAMING & LEISURE PROPERTIES, INC.",906569,Nasdaq Global Market,GLPI,6798,Real Estate Investment Trusts
13,0000074303,OLIN CORP,888,NYSE,OLN,2800,Chemicals & Allied Products
14,0000898293,JABIL CIRCUIT INC,7246,NYSE,JBL,3672,Printed Circuit Boards
15,0000106040,WESTERN DIGITAL CORP,10781,Nasdaq Global Market,WDC,3572,Computer Storage Devices
16,0001333822,SEMILEDS CORP,680300,Nasdaq Capital Market,LEDS,3674,Semiconductors and Related Devices
17,0001418135,"DR PEPPER SNAPPLE GROUP, INC.",762146,NYSE,DPS,2080,Beverages
18,0001135971,PEPCO HOLDINGS LLC,84716,NYSE,POM,4931,Electric and Other Services Combined
19,0001043219,ANNALY CAPITAL MANAGEMENT INC,8946,NYSE,NLY,6798,Real Estate Investment Trusts
20,0000855658,LATTICE SEMICONDUCTOR CORP,1092,Nasdaq Global Market,LSCC,3674,Semiconductors and Related Devices
21,0000033185,EQUIFAX INC,189,NYSE,EFX,7320,"Consumer Credit Reporting Agencies, Mercantile"
22,0001104657,MATERION CORP,71528,NYSE,MTRN,3460,Metal Forgings And Stampings
23,0001035002,VALERO ENERGY CORP/TX,6471,NYSE,VLO,2911,Petroleum Refining
24,0000880432,MISONIX INC,397,Nasdaq Global Market,MSON,3821,Laboratory Apparatus and Furniture
