id,req_company_name,req_cik,req_url,ret_cik,ret_company_name,ret_description,ret_filing_date,ret_sec_accession_number,ret_title,ret_url
0,AARON'S INC,706688,http://www.sec.gov/Archives/edgar/data/706688/000070668814000029/0000706688-14-000029-index.htm,706688,AARON'S INC,formsdconflictminerals2014.htm,2014-05-28 12:50:08,0000706688-14-000029,SD,https://www.sec.gov/Archives/edgar/data/706688/000070668814000029/formsdconflictminerals2014.htm
1,AARON'S INC,706688,http://www.sec.gov/Archives/edgar/data/706688/000070668814000029/0000706688-14-000029-index.htm,706688,AARON'S INC,0000706688-14-000029.txt,2014-05-28 12:50:08,0000706688-14-000029,Complete submission text file,https://www.sec.gov/Archives/edgar/data/706688/000070668814000029/0000706688-14-000029.txt
2,AARON'S INC,706688,http://www.sec.gov/Archives/edgar/data/706688/000070668815000148/0000706688-15-000148-index.htm,706688,AARON'S INC,sdconflictminerals2014.htm,2015-05-22 12:06:05,0000706688-15-000148,SD_CONFLICT_MINERALS_2014,https://www.sec.gov/Archives/edgar/data/706688/000070668815000148/sdconflictminerals2014.htm
3,AARON'S INC,706688,http://www.sec.gov/Archives/edgar/data/706688/000070668815000148/0000706688-15-000148-index.htm,706688,AARON'S INC,0000706688-15-000148.txt,2015-05-22 12:06:05,0000706688-15-000148,Complete submission text file,https://www.sec.gov/Archives/edgar/data/706688/000070668815000148/0000706688-15-000148.txt
4,AAON INC,824142,http://www.sec.gov/Archives/edgar/data/824142/000082414214000080/0000824142-14-000080-index.htm,824142,AAON INC,a2013formsd.htm,2014-06-02 13:49:18,0000824142-14-000080,AAON2013FORMSD,https://www.sec.gov/Archives/edgar/data/824142/000082414214000080/a2013formsd.htm
5,AAON INC,824142,http://www.sec.gov/Archives/edgar/data/824142/000082414214000080/0000824142-14-000080-index.htm,824142,AAON INC,a2013exhibit102.htm,2014-06-02 13:49:18,0000824142-14-000080,AAON2013EXHIBIT1.02,https://www.sec.gov/Archives/edgar/data/824142/000082414214000080/a2013exhibit102.htm
6,AAON INC,824142,http://www.sec.gov/Archives/edgar/data/824142/000082414214000080/0000824142-14-000080-index.htm,824142,AAON INC,0000824142-14-000080.txt,2014-06-02 13:49:18,0000824142-14-000080,Complete submission text file,https://www.sec.gov/Archives/edgar/data/824142/000082414214000080/0000824142-14-000080.txt
7,AAON INC,824142,http://www.sec.gov/Archives/edgar/data/824142/000082414215000071/0000824142-15-000071-index.htm,824142,AAON INC,a2014formsd.htm,2015-05-29 11:36:18,0000824142-15-000071,SD,https://www.sec.gov/Archives/edgar/data/824142/000082414215000071/a2014formsd.htm
8,AAON INC,824142,http://www.sec.gov/Archives/edgar/data/824142/000082414215000071/0000824142-15-000071-index.htm,824142,AAON INC,exhibit101.htm,2015-05-29 11:36:18,0000824142-15-000071,EXHIBIT 1.01,https://www.sec.gov/Archives/edgar/data/824142/000082414215000071/exhibit101.htm
9,AAON INC,824142,http://www.sec.gov/Archives/edgar/data/824142/000082414215000071/0000824142-15-000071-index.htm,824142,AAON INC,0000824142-15-000071.txt,2015-05-29 11:36:18,0000824142-15-000071,Complete submission text file,https://www.sec.gov/Archives/edgar/data/824142/000082414215000071/0000824142-15-000071.txt
10,ABAXIS INC,881890,http://www.sec.gov/Archives/edgar/data/881890/000114036114023999/0001140361-14-023999-index.htm,881890,ABAXIS INC,formsd.htm,2014-06-02 14:21:20,0001140361-14-023999,ABAXIS INC SD 12-31-2013,https://www.sec.gov/Archives/edgar/data/881890/000114036114023999/formsd.htm
11,ABAXIS INC,881890,http://www.sec.gov/Archives/edgar/data/881890/000114036114023999/0001140361-14-023999-index.htm,881890,ABAXIS INC,ex1_02.htm,2014-06-02 14:21:20,0001140361-14-023999,EXHIBIT 1.02,https://www.sec.gov/Archives/edgar/data/881890/000114036114023999/ex1_02.htm
12,ABAXIS INC,881890,http://www.sec.gov/Archives/edgar/data/881890/000114036114023999/0001140361-14-023999-index.htm,881890,ABAXIS INC,0001140361-14-023999.txt,2014-06-02 14:21:20,0001140361-14-023999,Complete submission text file,https://www.sec.gov/Archives/edgar/data/881890/000114036114023999/0001140361-14-023999.txt
13,ABAXIS INC,881890,http://www.sec.gov/Archives/edgar/data/881890/000114036115022629/0001140361-15-022629-index.htm,881890,ABAXIS INC,formsd.htm,2015-06-01 16:14:09,0001140361-15-022629,ABAXIS INC SD 12-31-2014,https://www.sec.gov/Archives/edgar/data/881890/000114036115022629/formsd.htm
14,ABAXIS INC,881890,http://www.sec.gov/Archives/edgar/data/881890/000114036115022629/0001140361-15-022629-index.htm,881890,ABAXIS INC,ex1-01.htm,2015-06-01 16:14:09,0001140361-15-022629,EXHIBIT 1.01,https://www.sec.gov/Archives/edgar/data/881890/000114036115022629/ex1-01.htm
15,ABAXIS INC,881890,http://www.sec.gov/Archives/edgar/data/881890/000114036115022629/0001140361-15-022629-index.htm,881890,ABAXIS INC,0001140361-15-022629.txt,2015-06-01 16:14:09,0001140361-15-022629,Complete submission text file,https://www.sec.gov/Archives/edgar/data/881890/000114036115022629/0001140361-15-022629.txt
16,ABBVIE INC.,1551152,http://www.sec.gov/Archives/edgar/data/1551152/000110465914043142/0001104659-14-043142-index.htm,1551152,AbbVie Inc.,a14-13827_1sd.htm,2014-06-02 10:15:13,0001104659-14-043142,SD,https://www.sec.gov/Archives/edgar/data/1551152/000110465914043142/a14-13827_1sd.htm
